Rho110_calibration_10-15-21_1_T0s_1.ptu	 	 	Rho110_calibration_10-15-21_1_T0s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_1_T0s_1.ptu (B)	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu (B)	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.0126994412245861	0.432196745998104	0.00919685988185802	0.0126994412245861	0.814258114521165	0.00693808483881754	0.0126994412245861	0.38008250141892	0.017676427415292	0.0126994412245861	0.450086198697563	0.00919794216314532	0.0126994412245861	0.818011713936249	0.00574177120206578	0.0126994412245861	0.389529915628745	0.0278938406821585	0.0126994920203192	0.439121905073821	0.00709495865759845	0.0126994920203192	0.80796092301869	0.00665566967341488	0.0126994920203192	0.396765161896298	0.0293478883315705
0.0134994060261349	0.446086636378794	0.00842184470509957	0.0134994060261349	0.784228006073931	0.00716321745866201	0.0134994060261349	0.357900830987171	0.0237165309299305	0.0134994060261349	0.462948988408296	0.00843082870657795	0.0134994060261349	0.794741550420713	0.00562853269583522	0.0134994060261349	0.381647867272594	0.0254406616595551	0.0134994600215991	0.434817851132496	0.0100725582017658	0.0134994600215991	0.779175361462957	0.00589659455698459	0.0134994600215991	0.368856865828777	0.0230625569052622
0.0142993708276836	0.423022030106967	0.00847181146076557	0.0142993708276836	0.764842787240058	0.00618148690716029	0.0142993708276836	0.349155797119583	0.0315497396589354	0.0142993708276836	0.400801877369797	0.00607818300360619	0.0142993708276836	0.786389161072855	0.00469107950020993	0.0142993708276836	0.360437956263702	0.028757795538981	0.0142994280228791	0.421269843777323	0.00942125687650443	0.0142994280228791	0.772303666148187	0.00751953902558413	0.0142994280228791	0.36571598729958	0.0371953054530522
0.0150993356292323	0.428258497097138	0.00842886320788525	0.0150993356292323	0.758630598668144	0.00737623632337207	0.0150993356292323	0.341548509597622	0.0326516977721789	0.0150993356292323	0.413537066058881	0.010606125304901	0.0150993356292323	0.762170807074917	0.00639195239599616	0.0150993356292323	0.369316914912449	0.0222089391123335	0.015099396024159	0.435855119329037	0.00922224740510783	0.015099396024159	0.763126945029407	0.00713134868520698	0.015099396024159	0.397893570486045	0.022861997027396
0.0162992828315554	0.413370475058377	0.00588688878131534	0.0162992828315554	0.745291523945764	0.00579829634384279	0.0162992828315554	0.390539078930501	0.0210036802026124	0.0162992828315554	0.41483326956273	0.00524519459727395	0.0162992828315554	0.738060639039571	0.00406576539455269	0.0162992828315554	0.330401287179159	0.0229061895402109	0.016299348026079	0.415562966904874	0.0061508685021357	0.016299348026079	0.737355851118291	0.00466688151421886	0.016299348026079	0.365680243368542	0.02073217642393
0.0178992124346529	0.397603303367056	0.00721330863422423	0.0178992124346529	0.718304306345661	0.00452616926390481	0.0178992124346529	0.330231184186843	0.0175607195069281	0.0178992124346529	0.410332286502271	0.00880023504406136	0.0178992124346529	0.727079021390885	0.00288844013109035	0.0178992124346529	0.292654101512646	0.0180841778527122	0.0178992840286389	0.394222089410643	0.00462194539389117	0.0178992840286389	0.7231709544981	0.00416137111568927	0.0178992840286389	0.330708817722962	0.0152538154375035
0.0194991420377503	0.391828185975954	0.0049946767141447	0.0194991420377503	0.695740196887137	0.00559185687858837	0.0194991420377503	0.349576760102168	0.0208480521900533	0.0194991420377503	0.378918341737536	0.0054029576368921	0.0194991420377503	0.698348048504972	0.00286695536856135	0.0194991420377503	0.311745851243266	0.0207013391817351	0.0194992200311987	0.381384655330557	0.007087726007041	0.0194992200311987	0.694194102456587	0.00417042947716281	0.0194992200311987	0.337874431875867	0.0224699655072815
0.0210990716408478	0.363341399548929	0.00582379154830821	0.0210990716408478	0.678508095106567	0.00657906835518847	0.0210990716408478	0.313289563092622	0.0200866419717145	0.0210990716408478	0.371197096961231	0.00721317835989374	0.0210990716408478	0.681728653336457	0.00479495586012101	0.0210990716408478	0.316877122230623	0.0231728648266354	0.0210991560337586	0.369798690781795	0.0061242877226737	0.0210991560337586	0.686864344832305	0.00526695756622348	0.0210991560337586	0.317996963763347	0.0156934069372819
0.0226990012439453	0.354317438232344	0.00868153329461865	0.0226990012439453	0.659792826340255	0.00332186566963331	0.0226990012439453	0.325337566849296	0.0187104998310897	0.0226990012439453	0.355489398055646	0.00465025706820017	0.0226990012439453	0.665031310308342	0.00499347841644595	0.0226990012439453	0.28806673795051	0.0150799204416616	0.0226990920363185	0.355882851103199	0.00654484153320951	0.0226990920363185	0.665456193000117	0.00524711840742458	0.0226990920363185	0.315994525561712	0.0172657580359443
0.0242989308470427	0.346982094090609	0.00529083238087098	0.0242989308470427	0.64873954728724	0.00405450805638641	0.0242989308470427	0.330214241345005	0.0199585243360237	0.0242989308470427	0.354829933469571	0.00696642146079838	0.0242989308470427	0.645412614016215	0.00360317421143385	0.0242989308470427	0.319717975858739	0.023766914973587	0.0242990280388784	0.360612715256054	0.00636783337128186	0.0242990280388784	0.646037144381608	0.00439545168648597	0.0242990280388784	0.305226285763648	0.019118745588039
