A_and_C_1_1_10-20-21_1_T0s_1.ptu	 	 	A_and_C_1_1_10-20-21_1_T0s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_1_T0s_1.ptu (B)	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu (B)	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.0605473359172196	0.185398858390645	0.00129013751612115	0.0605473359172196	0.256050245435992	0.000936517356075435	0.0605473359172196	0.153651484043661	0.00598717327824896	0.0605473359172196	0.195722875073824	0.00115294974632811	0.0605473359172196	0.257108881653377	0.00106205293213174	0.0605473359172196	0.183185214340404	0.00706504021075817	0.0605473359172196	0.20257722525827	0.0017955541233812	0.0605473359172196	0.259975375604525	0.000827020520277003	0.0605473359172196	0.185929946982531	0.00477305173458179
0.0701469135358044	0.170024508897654	0.00121020834729502	0.0701469135358044	0.238393434833264	0.00052822737534249	0.0701469135358044	0.15145732605157	0.00408127189692799	0.0701469135358044	0.186662850226687	0.00128814171552997	0.0701469135358044	0.240260600839456	0.000772991954587914	0.0701469135358044	0.167459521865329	0.00541236124460866	0.0701469135358044	0.188930423205125	0.00162791394937985	0.0701469135358044	0.242477975568819	0.00091224733846024	0.0701469135358044	0.171562020566118	0.00509120645253788
0.0829463503605841	0.157718441324138	0.00105385140849169	0.0829463503605841	0.218173958048915	0.000641113903340153	0.0829463503605841	0.136054711261505	0.00410729791604919	0.0829463503605841	0.167999925113684	0.00156373178054092	0.0829463503605841	0.219585213816112	0.000926065709157072	0.0829463503605841	0.158236917871536	0.00524914395140733	0.0829463503605841	0.173504901365744	0.00130109604030965	0.0829463503605841	0.221328626400363	0.000757189014370999	0.0829463503605841	0.150694377424998	0.00538885320072077
0.0957457871853639	0.14646056752278	0.00122035990680019	0.0957457871853639	0.199454398187813	0.000735971767984016	0.0957457871853639	0.130615598064838	0.00448311214166023	0.0957457871853639	0.155642988754712	0.00137201208940556	0.0957457871853639	0.202763808189336	0.00086520413995204	0.0957457871853639	0.145846094206298	0.00628128980637583	0.0957457871853639	0.158622729853677	0.00115375765846396	0.0957457871853639	0.204470513792263	0.000747336391681477	0.0957457871853639	0.15125263674501	0.00320868031136986
0.108545224010144	0.137751839695149	0.00109675125954959	0.108545224010144	0.184768264788718	0.000596019533352012	0.108545224010144	0.130689495566242	0.00501202931928648	0.108545224010144	0.14710670634237	0.00118442905192386	0.108545224010144	0.188765146281578	0.000765911839643965	0.108545224010144	0.126525801203489	0.00545450539320797	0.108545224010144	0.147254365460856	0.00142659853026348	0.108545224010144	0.189036450824059	0.000850309187219008	0.108545224010144	0.131107034287573	0.00391445726979882
0.121344660834923	0.125400585896336	0.00112051836748642	0.121344660834923	0.172634822571662	0.00081385187010398	0.121344660834923	0.116523713697294	0.00376006320472203	0.121344660834923	0.133177585385093	0.00143484086395354	0.121344660834923	0.17512994704983	0.000744670632379083	0.121344660834923	0.118735938703333	0.00489815547037569	0.121344660834923	0.136046048663808	0.000974729175189067	0.121344660834923	0.177060476143777	0.000838499007859372	0.121344660834923	0.121967694180905	0.00431193331856914
0.140543816072093	0.114254681298955	0.000900513623787591	0.140543816072093	0.157794232549648	0.000521245764622748	0.140543816072093	0.101888929191775	0.00260124462411507	0.140543816072093	0.122578356539209	0.000831269918726821	0.140543816072093	0.159209061322435	0.000556301970396956	0.140543816072093	0.116242700253186	0.0043418012143347	0.140543816072093	0.125934585550506	0.000830484640950168	0.140543816072093	0.160208568421519	0.000651434015250585	0.140543816072093	0.118465541205698	0.00394374370448445
0.166142689721652	0.100855916007739	0.000623915734524107	0.166142689721652	0.139183540751853	0.000697202705585707	0.166142689721652	0.0890149007292215	0.00291080805742426	0.166142689721652	0.110623685569379	0.00104221653043614	0.166142689721652	0.141056350472575	0.0006153631798782	0.166142689721652	0.100558196481629	0.00362821760642782	0.166142689721652	0.112083241030349	0.0009529539157145	0.166142689721652	0.142626061687931	0.000469052069866709	0.166142689721652	0.109486111809141	0.00428144661959139
0.191741563371212	0.0914831947514139	0.00106681363588143	0.191741563371212	0.125270312760785	0.000519074838113303	0.191741563371212	0.0861896535230312	0.00281924980300796	0.191741563371212	0.0979392198653124	0.000971823725477004	0.191741563371212	0.126931269032911	0.000581753655928296	0.191741563371212	0.0960629286178	0.0030278751028789	0.191741563371212	0.102811386720154	0.000960099869778577	0.191741563371212	0.128700605923309	0.000694537611547805	0.191741563371212	0.0913780418488846	0.00277080844480213
0.217340437020771	0.0848746072561266	0.00127979438634526	0.217340437020771	0.114568130626943	0.000480615276774586	0.217340437020771	0.0746015763314138	0.00410096078318929	0.217340437020771	0.0894966640820991	0.000788574744893967	0.217340437020771	0.115159993275174	0.000514275176196444	0.217340437020771	0.079530521449992	0.0033252223260841	0.217340437020771	0.092172519484044	0.00131180733799124	0.217340437020771	0.116340047075564	0.000464230951255045	0.217340437020771	0.0878604805887217	0.00370547633558725
