A_and_B_1_1_10-20-21_1_T0s_1.ptu	 	 	A_and_B_1_1_10-20-21_1_T0s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_1_T0s_1.ptu (B)	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu (B)	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.00949958201839119	0.295325917815778	0.00362572066208089	0.00949958201839119	0.55929698532039	0.00278928516503284	0.00949958201839119	0.186619968009204	0.00927952338599961	0.00949958201839119	0.356125181301741	0.00435806893914436	0.00949958201839119	0.581921110271598	0.00346502999764244	0.00949958201839119	0.27631059035084	0.0150781819992222	0.00949958201839119	0.376150056682494	0.00640476029334262	0.00949958201839119	0.583765273165975	0.00338591633796092	0.00949958201839119	0.296393438201495	0.0162845669101478
0.0102995468199399	0.287834295110932	0.00468731819114308	0.0102995468199399	0.556279912845352	0.00376665828886934	0.0102995468199399	0.199802988733567	0.0134068123004285	0.0102995468199399	0.360746042057196	0.0055131160651099	0.0102995468199399	0.565388480132783	0.00380422852130704	0.0102995468199399	0.261931434091591	0.0190912388682561	0.0102995468199399	0.370862827041042	0.00550253919532772	0.0102995468199399	0.574770752885067	0.0035258986583369	0.0102995468199399	0.305322639310629	0.0197225344161023
0.0110995116214887	0.294839329821008	0.00395476329487924	0.0110995116214887	0.550460348630469	0.00426456699805143	0.0110995116214887	0.206196709368133	0.0136810436500527	0.0110995116214887	0.343585969616096	0.00615822671288376	0.0110995116214887	0.565964840871958	0.00265076389742598	0.0110995116214887	0.260133937277086	0.0173844523957837	0.0110995116214887	0.368654907954171	0.00499086714585109	0.0110995116214887	0.566653349441184	0.00304783442648277	0.0110995116214887	0.27843879096051	0.016241390890807
0.0118994764230374	0.283718908015423	0.00495843202354501	0.0118994764230374	0.546872208359938	0.00360505907860566	0.0118994764230374	0.188623301073255	0.0141139255954219	0.0118994764230374	0.351636983517691	0.00571059329049858	0.0118994764230374	0.565210518967785	0.00301305552078475	0.0118994764230374	0.246057453458766	0.019435214641935	0.0118994764230374	0.36860529730238	0.00521233656548612	0.0118994764230374	0.565351791935525	0.00369173108050254	0.0118994764230374	0.267440998428125	0.0169851400880628
0.0126994412245861	0.281887951917734	0.00410000029415199	0.0126994412245861	0.539324098800058	0.00386522107963122	0.0126994412245861	0.184302318368338	0.013894132504399	0.0126994412245861	0.338960680081708	0.00639979650600265	0.0126994412245861	0.555996261162668	0.00440931330450223	0.0126994412245861	0.266403122619173	0.0164829181504385	0.0126994412245861	0.351490875445559	0.00533127465707024	0.0126994412245861	0.561501680004667	0.00458719873675007	0.0126994412245861	0.249679311541909	0.0167275950013892
0.0134994060261349	0.275065852121934	0.00441776918874745	0.0134994060261349	0.539260112583585	0.0024903589977401	0.0134994060261349	0.191486794561963	0.00899445632314855	0.0134994060261349	0.339178068587541	0.00427097068381072	0.0134994060261349	0.556540289554919	0.00257912128722897	0.0134994060261349	0.260450735648758	0.0164653411357554	0.0134994060261349	0.370118248662619	0.00523907607614177	0.0134994060261349	0.560501081311746	0.00432639633421347	0.0134994060261349	0.277046759903919	0.017615032186458
0.0142993708276836	0.265565270232848	0.00398503743357824	0.0142993708276836	0.534448862656859	0.00398969970033411	0.0142993708276836	0.19082776833759	0.0141553376354762	0.0142993708276836	0.341116844729786	0.00606385042042999	0.0142993708276836	0.549149957551374	0.00259142460722214	0.0142993708276836	0.250570996119455	0.0184293535346644	0.0142993708276836	0.354488375111085	0.00461648557557855	0.0142993708276836	0.553807889042367	0.00449322628066548	0.0142993708276836	0.30185267197287	0.0194871537315073
0.0150993356292323	0.266938335961239	0.00589466182707073	0.0150993356292323	0.530500468471133	0.00259805812680534	0.0150993356292323	0.181087679968839	0.0127094348631648	0.0150993356292323	0.335832557496701	0.00556446588623597	0.0150993356292323	0.544848831899992	0.00242386130441937	0.0150993356292323	0.232088683108126	0.0183562138912058	0.0150993356292323	0.349475016819268	0.00485307742139722	0.0150993356292323	0.548838916039826	0.00363168182142676	0.0150993356292323	0.250654959254812	0.0198768093645209
0.0162992828315554	0.27549336454942	0.00304790927526873	0.0162992828315554	0.519097491145925	0.00222999684248777	0.0162992828315554	0.20731052991202	0.0075363772824589	0.0162992828315554	0.333667435590575	0.0035930989799364	0.0162992828315554	0.54247800287249	0.00262192519371315	0.0162992828315554	0.248124092574243	0.0116171297172158	0.0162992828315554	0.351438211521008	0.00389547027202156	0.0162992828315554	0.544734104785537	0.00240222432386719	0.0162992828315554	0.28304157433499	0.0114497784300068
0.0178992124346529	0.266853502199453	0.00278156694940994	0.0178992124346529	0.514963989380834	0.00222247921282923	0.0178992124346529	0.199687454886483	0.00877459556665643	0.0178992124346529	0.328789125416789	0.00280395448287777	0.0178992124346529	0.532852571019336	0.0031412263415443	0.0178992124346529	0.248218900613121	0.0134946087838367	0.0178992124346529	0.34509979800312	0.00303912973504481	0.0178992124346529	0.530875494259481	0.0026533623770148	0.0178992124346529	0.254963435793236	0.0132788017780718
