Fluorescin_Na_1_T0s_1.ptu	 	 	Fluorescin_Na_1_T0s_1.ptu (A)	 	 	Fluorescin_Na_1_T0s_1.ptu (B)	 	 	Fluorescin_Na_2_T302s_1.ptu	 	 	Fluorescin_Na_2_T302s_1.ptu (A)	 	 	Fluorescin_Na_2_T302s_1.ptu (B)	 	 	Fluorescin_Na_3_T604s_1.ptu	 	 	Fluorescin_Na_3_T604s_1.ptu (A)	 	 	Fluorescin_Na_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
2.55939762409504	0.00649685930141889	0.00071685245362773	2.55939762409504	0.00720837354991677	0.000447654919038815	2.55939762409504	0.00469237739338964	0.00276654788659948	2.55938738695497	0.00489764418449683	0.000635991608903155	2.55938738695497	0.00719378912675092	0.000544251242493996	2.55938738695497	0.0066642551052498	0.00154986792814943	2.55938738695497	0.00581719782105064	0.000679461981917301	2.55938738695497	0.0065332826369466	0.00065662896741779	2.55938738695497	0.00733774843589827	0.00184145211816342
2.7641894324227	0.00447815173001716	0.000875431126885372	2.7641894324227	0.00550198258032347	0.00068112428091139	2.7641894324227	0.00571428810134736	0.00212116367700226	2.76417837615145	0.0054264182545874	0.000845194308453678	2.76417837615145	0.00629011140479741	0.000608135323352398	2.76417837615145	0.00668260242904708	0.00169125778559561	2.76417837615145	0.00464741101132228	0.000707373220265591	2.76417837615145	0.00638535743845048	0.00050697160148884	2.76417837615145	0.00689484298662577	0.00144237115532069
2.96898124075037	0.00495486077678214	0.000595695839205401	2.96898124075037	0.00512667118108473	0.000495313928610925	2.96898124075037	0.00434936637292817	0.0014825932469283	2.96896936534792	0.00417941391902558	0.000513049921792573	2.96896936534792	0.00616027991022647	0.000584353131646022	2.96896936534792	0.00646645632386638	0.00168766592843928	2.96896936534792	0.00437650515427276	0.00060481798195727	2.96896936534792	0.00575350401258959	0.000559828865430303	2.96896936534792	0.0069187383469585	0.00169101012072928
3.17377304907804	0.00409368878861563	0.000823782197731844	3.17377304907804	0.00474377582864298	0.000577111271911266	3.17377304907804	0.00181231519626442	0.00222454591782833	3.1737603545444	0.0056005768371288	0.000436404492973293	3.1737603545444	0.00555628013756049	0.00062123923002179	3.1737603545444	0.0051778264897472	0.00141299165066346	3.1737603545444	0.00456264847275884	0.000434017628110807	3.1737603545444	0.00457527607080526	0.000481455681877929	3.1737603545444	0.00454205405901536	0.00151552575758639
3.3785648574057	0.0041096619896266	0.000875413133212171	3.3785648574057	0.00447453134949429	0.000624129915056896	3.3785648574057	0.00396683157574	0.00284436128654057	3.37855134374087	0.00477493246023382	0.000692427030600461	3.37855134374087	0.00482468406261877	0.000443809919608107	3.37855134374087	0.00645879198250644	0.00121489559691519	3.37855134374087	0.00393907013925738	0.000675996859008024	3.37855134374087	0.00472828764242831	0.000391901273353171	3.37855134374087	0.00420058227390945	0.00177422726171745
3.58335666573337	0.0041193201125769	0.000776627083815507	3.58335666573337	0.0033280620417042	0.000662826366146726	3.58335666573337	0.00685291457927188	0.00188631768969707	3.58334233293735	0.00448759403240456	0.000543331193390203	3.58334233293735	0.00424882973606754	0.000403013345548971	3.58334233293735	0.00714835157431871	0.0015608052338854	3.58334233293735	0.00295962892157343	0.000656042889201283	3.58334233293735	0.00344715835804818	0.000483221498539326	3.58334233293735	0.00683111183807771	0.00134550639188409
3.78814847406104	0.00404099882480778	0.000724538413880099	3.78814847406104	0.00370567230287614	0.000492349383599233	3.78814847406104	0.00393213370724754	0.00170426070314673	3.78813332213383	0.00470229064231144	0.000643561796084357	3.78813332213383	0.00408745308880699	0.000236748939546066	3.78813332213383	0.00671745328015548	0.00139326897476458	3.78813332213383	0.00218747105152472	0.000428195266078931	3.78813332213383	0.00333160080433372	0.000383860436460143	3.78813332213383	0.00171533676055216	0.00142546122148839
3.9929402823887	0.00297451614705748	0.000882310178622099	3.9929402823887	0.00372026815820589	0.000421825843585862	3.9929402823887	0.00458146160619873	0.00219646135605584	3.9929243113303	0.00319141370075598	0.000439620837172619	3.9929243113303	0.00415722578902371	0.0003835978684071	3.9929243113303	0.00515556973612439	0.0011850726639891	3.9929243113303	0.00309238612122648	0.000424168658516268	3.9929243113303	0.00370725812686376	0.000403696444864116	3.9929243113303	0.00402944292695129	0.00174547910373475
4.3001279948802	0.00220171164328089	0.000508307971216965	4.3001279948802	0.00241830725877258	0.000372789737126772	4.3001279948802	0.00269096237666967	0.0020201342304958	4.30011079512502	0.003633075361274	0.00059632005951961	4.30011079512502	0.00384313915417424	0.000389137246244152	4.30011079512502	0.00583819913469774	0.00134438993752162	4.30011079512502	0.00242885471983019	0.000449661437438759	4.30011079512502	0.00320770013959568	0.000476183205966757	4.30011079512502	0.00420184561442653	0.000968544202835719
4.70971161153554	0.0020157870079229	0.000523669258547521	4.70971161153554	0.00255096181241992	0.000329137068428042	4.70971161153554	0.00544703907660478	0.00142532348206878	4.70969277351797	0.00187543587341578	0.000479422952097967	4.70969277351797	0.00302517538738777	0.000470920087353871	4.70969277351797	0.00260410979599195	0.00146027668949916	4.70969277351797	0.00289601405196368	0.000699367613993969	4.70969277351797	0.00313157705006142	0.000406888214036223	4.70969277351797	0.00476545418225025	0.00102124412878875
5.11929522819087	0.00276830075506724	0.000538753515957029	5.11929522819087	0.00295399096158079	0.000401069931310892	5.11929522819087	0.00323903607778681	0.00139229198745214	5.11927475191092	0.00322904454738999	0.000368100264732293	5.11927475191092	0.00289714703862651	0.000409407110340148	5.11927475191092	0.00233455471647729	0.00118081821521829	5.11927475191092	0.00177749052272917	0.000604973205351853	5.11927475191092	0.00300499739180453	0.000447411702754915	5.11927475191092	0.00143573724211666	0.0015273984720638
5.52887884484621	0.00313675148729252	0.000656070831331648	5.52887884484621	0.00338061126660603	0.000341517317542091	5.52887884484621	0.00265272927166637	0.00091889078540647	5.52885673030387	0.00235815162014868	0.000716557957693021	5.52885673030387	0.00259529985216866	0.000475588297261657	5.52885673030387	0.00267059057162765	0.00130654761289253	5.52885673030387	0.00190406273591364	0.000536409467423901	5.52885673030387	0.00166231408648606	0.00056867360607706	5.52885673030387	0.00270900760536145	0.00106128000135981
5.93846246150154	0.00249868948659556	0.000482238749180997	5.93846246150154	0.00254180466435231	0.000292128327918959	5.93846246150154	0.00360708898016379	0.00168184610163492	5.93843870869682	0.00290785033987453	0.000698771402001437	5.93843870869682	0.00260917690304211	0.000381847751614176	5.93843870869682	0.00409168994233799	0.00128633743289191	5.93843870869682	0.00184840942975131	0.000383548092203835	5.93843870869682	0.00213729786512014	0.000384864029649432	5.93843870869682	0.00290781443385264	0.000921216620844751
6.34804607815687	0.00135969857560807	0.000465476091083939	6.34804607815687	0.0015253752357563	0.000242625012813776	6.34804607815687	-0.00101939187844358	0.0015002781720051	6.34802068708977	0.00200431883786821	0.000658703642289167	6.34802068708977	0.00249110603663184	0.000506440783408603	6.34802068708977	0.00132175026674986	0.0014469692578233	6.34802068708977	0.0018457086642179	0.000443074240095548	6.34802068708977	0.00227395044944805	0.000416229241729318	6.34802068708977	0.00206252343527805	0.000933144556542772
6.75762969481221	0.00195533923156723	0.000717547667539041	6.75762969481221	0.00202716273447088	0.00046454061867226	6.75762969481221	0.00246283782076324	0.00151646133955303	6.75760266548272	0.00278616646488385	0.000623597944270173	6.75760266548272	0.0027135470703173	0.000514701256397073	6.75760266548272	0.00486018876094927	0.00178891102872959	6.75760266548272	0.0021169577083889	0.000525143557102014	6.75760266548272	0.00121371867243905	0.000575155892718855	6.75760266548272	0.00285339839772372	0.00127690225131405
7.16721331146754	0.00215989361979287	0.000431518833827962	7.16721331146754	0.00187684548577212	0.000380131263116484	7.16721331146754	0.00308567738417852	0.00162700916210497	7.16718464387567	0.0018886317217666	0.0004036055496145	7.16718464387567	0.00176717620815643	0.000382480874340533	7.16718464387567	0.00277634933199565	0.00107337443624204	7.16718464387567	0.00127017667175433	0.000492396647349982	7.16718464387567	0.0020402896284708	0.00041394625031401	7.16718464387567	0.00148048474577263	0.000740364708680735
7.57679692812287	0.00125895037383359	0.000536658755054896	7.57679692812287	0.00245091879016459	0.000466848800970776	7.57679692812287	0.000770636829376004	0.00146831408647496	7.57676662226862	0.00180667013759871	0.000545517607111826	7.57676662226862	0.00155798545455512	0.000468247352151323	7.57676662226862	0.000869164211617041	0.000973319404035927	7.57676662226862	0.00131807815113446	0.000546252625548504	7.57676662226862	0.00117644220991654	0.000259535365935737	7.57676662226862	0.00293728201499625	0.000728207529349877
7.98638054477821	0.0014495761125884	0.00038255431285593	7.98638054477821	0.00154977207210797	0.00037687410435648	7.98638054477821	0.00148965333040783	0.00110504249349346	7.98634860066157	0.000651669473798111	0.000485575367798145	7.98634860066157	0.00140995486542945	0.000277046825424815	7.98634860066157	-0.00139283400909616	0.000944614038603974	7.98634860066157	0.000822610230196188	0.000360837863656161	7.98634860066157	0.0011712001402447	0.000361625601942721	7.98634860066157	0.00282808283704673	0.00151075110426346
8.60075596976121	0.00143548446613678	0.000344483584890757	8.60075596976121	0.00122932072965122	0.000296335299364424	8.60075596976121	0.00313493344394694	0.000980932267180948	8.600721568251	0.00140412996684483	0.000332441081915419	8.600721568251	0.00201313870834031	0.000253678026081829	8.600721568251	0.00151653211917096	0.00109938214288937	8.600721568251	0.00146597193939571	0.000423226608778206	8.600721568251	0.00120953905222884	0.000385915005450848	8.600721568251	0.00112612909526315	0.000952406976235682
9.41992320307188	0.00182888870609783	0.000386416328363535	9.41992320307188	0.00145166259089317	0.000356638445912398	9.41992320307188	0.00376070687195161	0.000793592779286364	9.4198855250369	0.00133495955328927	0.000480702693531398	9.4198855250369	0.00170005541975431	0.000457104402490829	9.4198855250369	0.00222938857028464	0.00123183411793535	9.4198855250369	0.000712610990422689	0.000306073206235382	9.4198855250369	0.000878404759530473	0.000449666880348723	9.4198855250369	0.00130867944347952	0.000918543718195298
10.2390904363825	0.000481943166106195	0.000428860640657486	10.2390904363825	0.000729142692159355	0.00034286831346173	10.2390904363825	0.0018932554675052	0.00123876055520243	10.2390494818228	0.000741366782145832	0.000575982604727749	10.2390494818228	0.00111811714541349	0.000323436728809576	10.2390494818228	0.00239251335781445	0.00089014761855968	10.2390494818228	0.000288178927166346	0.000462390187051691	10.2390494818228	0.00114895229691685	0.000378152862472927	10.2390494818228	0.00196955038905378	0.000824020521748696
11.0582576696932	0.000846969713647357	0.000339983676797915	11.0582576696932	0.00068341993985345	0.00038480174610588	11.0582576696932	0.00157683563994859	0.000787657936012363	11.0582134386087	0.00157666273707779	0.000518273485569527	11.0582134386087	0.00159959513439628	0.000396943957362783	11.0582134386087	0.00216196094700118	0.000856695479139381	11.0582134386087	0.000368810152739496	0.00033167185965771	11.0582134386087	0.000842266907278466	0.000395558447930876	11.0582134386087	0.00196070831000256	0.00102700840035884
11.8774249030039	0.000701311658608334	0.000458238098246498	11.8774249030039	0.000722311899846889	0.000352985791625833	11.8774249030039	0.00129529406688573	0.00116615061132807	11.8773773953946	0.00123834368737298	0.000540925968852785	11.8773773953946	0.00127525518459307	0.000349157254515518	11.8773773953946	0.00245037657928242	0.00117780825336814	11.8773773953946	0.00025440814840668	0.000416396264557034	11.8773773953946	0.000270005646951189	0.000318347237916131	11.8773773953946	-0.000619184271166251	0.000629038941996989
12.6965921363145	0.000138002314619501	0.00052864805267722	12.6965921363145	0.000578738996477191	0.000261305492248661	12.6965921363145	-0.000485842357393772	0.00132519486348413	12.6965413521805	-0.000174002975018028	0.000446815688012247	12.6965413521805	0.000745701866376405	0.000288246081302204	12.6965413521805	0.000398914280025463	0.0011384906102479	12.6965413521805	0.000642871943982008	0.00044181248145777	12.6965413521805	0.000866189627168725	0.000389068440113184	12.6965413521805	0.00173832701117652	0.000917823860287974
13.5157593696252	9.5224699858554E-5	0.000325323292259799	13.5157593696252	0.00041305423015336	0.000270588830506899	13.5157593696252	-0.000183284224243287	0.00101410477348799	13.5157053089664	0.000622296252130483	0.000581523521778675	13.5157053089664	0.000387572519282146	0.000298679464078781	13.5157053089664	0.00126818808251085	0.000653745713907571	13.5157053089664	0.000554817850928969	0.000364485651486857	13.5157053089664	0.000759632637357685	0.000436679277329229	13.5157053089664	0.000742245416995196	0.00115576602861634
