40k_dextran_1_T0s_1.ptu	 	 	40k_dextran_1_T0s_1.ptu (A)	 	 	40k_dextran_1_T0s_1.ptu (B)	 	 	40k_dextran_2_T302s_1.ptu	 	 	40k_dextran_2_T302s_1.ptu (A)	 	 	40k_dextran_2_T302s_1.ptu (B)	 	 	40k_dextran_3_T604s_1.ptu	 	 	40k_dextran_3_T604s_1.ptu (A)	 	 	40k_dextran_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.421881437216762	0.415889198328359	0.00221895710821771	0.421881437216762	0.587526935594845	0.00219337349603689	0.421881437216762	0.333223031530327	0.00831940688714925	0.421881437216762	0.364127887419687	0.00349224171817532	0.421881437216762	0.580492297347751	0.00352681123550457	0.421881437216762	0.264506929531212	0.00682552066354769	0.421881437216762	0.322620701746248	0.00215534516726942	0.421881437216762	0.556560318093073	0.00338173697355483	0.421881437216762	0.224638343473214	0.00445745889988426
0.447480310866322	0.400270731509429	0.00313498178416467	0.447480310866322	0.569326024482405	0.00276711759192224	0.447480310866322	0.323205294008588	0.00652534906437385	0.447480310866322	0.350841941766384	0.00368349895532845	0.447480310866322	0.55605216767394	0.00416898178765731	0.447480310866322	0.258516079195714	0.00711185676388859	0.447480310866322	0.305700730993464	0.00245122668514254	0.447480310866322	0.540503349645803	0.00281652596837128	0.447480310866322	0.218731681795901	0.00685396315868182
0.473079184515881	0.387724256639051	0.00266081676941934	0.473079184515881	0.545073967938792	0.00253713168210237	0.473079184515881	0.302115690740877	0.00501085340769253	0.473079184515881	0.341323103206478	0.00381574068512121	0.473079184515881	0.540566029016734	0.00364053062917937	0.473079184515881	0.247504344752604	0.00847819564078278	0.473079184515881	0.298007258358802	0.00185898899791145	0.473079184515881	0.520512479565359	0.00269903927541373	0.473079184515881	0.220419212745703	0.00638446472445428
0.498678058165441	0.379873459105845	0.00352377268484514	0.498678058165441	0.5309943791755	0.0028589280535491	0.498678058165441	0.31130987230656	0.00573904130098494	0.498678058165441	0.325317768510666	0.0027569993277357	0.498678058165441	0.522283465957922	0.00359560497693066	0.498678058165441	0.243047044123038	0.00496870393301389	0.498678058165441	0.289423314106234	0.00298081970513649	0.498678058165441	0.506739593485495	0.0034829713042921	0.498678058165441	0.208539108906539	0.00456313482707075
0.53707636863978	0.360646592595628	0.00220333426565276	0.53707636863978	0.503830992032975	0.00270385831790258	0.53707636863978	0.288746903877654	0.00627138439842128	0.53707636863978	0.312112436828712	0.00258508121349189	0.53707636863978	0.497850910138334	0.00342415521162735	0.53707636863978	0.233806481731398	0.00536904059929861	0.53707636863978	0.273697220769082	0.00256648313789133	0.53707636863978	0.481024159694859	0.00272868001771971	0.53707636863978	0.198247221430078	0.00417931484509472
0.588274115938899	0.339266331487095	0.0024157772880352	0.588274115938899	0.472777820492078	0.00201350402887947	0.588274115938899	0.27110033875883	0.00422112693738894	0.588274115938899	0.296870410245884	0.00335729715962154	0.588274115938899	0.469243325415688	0.00406695188220911	0.588274115938899	0.20965324460453	0.00485194900260447	0.588274115938899	0.260001974289589	0.00210614332993445	0.588274115938899	0.451224335401552	0.00284317744457845	0.588274115938899	0.184649424543215	0.00480237671204438
0.639471863238018	0.317526792988945	0.00282967556738551	0.639471863238018	0.447408098585553	0.00212699028596693	0.639471863238018	0.24961471451419	0.00482045438336499	0.639471863238018	0.277973899530785	0.00289385802528998	0.639471863238018	0.443755577543285	0.00382514490535131	0.639471863238018	0.201683934525717	0.00581177005666159	0.639471863238018	0.245447131687665	0.00266380820599224	0.639471863238018	0.42398810714156	0.00300846714117169	0.639471863238018	0.179102929123973	0.00414832165568955
0.690669610537136	0.301256790262176	0.0025842486561199	0.690669610537136	0.420539359807895	0.0021735341738636	0.690669610537136	0.23661423122595	0.00562376698952408	0.690669610537136	0.265963719414115	0.00289237906532046	0.690669610537136	0.419697632122416	0.00376082570680518	0.690669610537136	0.199351081912714	0.00438439850117804	0.690669610537136	0.234849948126468	0.00251323438503196	0.690669610537136	0.401774515680198	0.00319554048170787	0.690669610537136	0.164301069158741	0.00524396401465755
0.741867357836255	0.284123875962806	0.00223309702445797	0.741867357836255	0.400474914869636	0.00234905674026728	0.741867357836255	0.231363571337067	0.00620330520577315	0.741867357836255	0.249545896703116	0.00257477724816166	0.741867357836255	0.397433272218547	0.00404229937784744	0.741867357836255	0.19238926881559	0.00353897754754207	0.741867357836255	0.220880490943108	0.00213167043066609	0.741867357836255	0.38183017659477	0.00288116418145466	0.741867357836255	0.149461439591152	0.00414341048192854
0.793065105135374	0.269363992410443	0.00236075311546166	0.793065105135374	0.380626337644928	0.00250906174632843	0.793065105135374	0.213621819974931	0.0049375241099945	0.793065105135374	0.238654712753027	0.00265691066289513	0.793065105135374	0.376698107702687	0.00393167783890819	0.793065105135374	0.174205983742714	0.00456044926938371	0.793065105135374	0.209696989170885	0.00253762961860941	0.793065105135374	0.362543198308691	0.00301632644505818	0.793065105135374	0.152821071714592	0.00379962508933483
0.844262852434493	0.25703830733391	0.00284710852151927	0.844262852434493	0.362920183563016	0.00284588582208072	0.844262852434493	0.205761109803795	0.00521456395692024	0.844262852434493	0.226208933566446	0.00233026706944653	0.844262852434493	0.357663422236115	0.00350131632949929	0.844262852434493	0.170665142389316	0.00499213649675227	0.844262852434493	0.198668324689965	0.00232948509537443	0.844262852434493	0.34460193356939	0.00268091492791721	0.844262852434493	0.143059649564951	0.0029088911596833
0.895460599733612	0.247562426831754	0.00285887418320576	0.895460599733612	0.346250450625668	0.00250983118132225	0.895460599733612	0.194874404825282	0.00491066618404113	0.895460599733612	0.213838923350706	0.00268601925903796	0.895460599733612	0.342282561905495	0.00381258111953853	0.895460599733612	0.159343821998018	0.00413408836544235	0.895460599733612	0.190474448272502	0.0019666906827948	0.895460599733612	0.329284520624777	0.00295850566162572	0.895460599733612	0.137150111948515	0.00304412188979549
0.94665834703273	0.236973810365402	0.00238438817937265	0.94665834703273	0.331711225952655	0.00237607051901393	0.94665834703273	0.190631410000299	0.00469337774494554	0.94665834703273	0.20894897409851	0.00286060472040428	0.94665834703273	0.328428050829825	0.00393013754797439	0.94665834703273	0.148805299212768	0.00470944920500637	0.94665834703273	0.183860967357611	0.002175629277191	0.94665834703273	0.314417003355769	0.00264678184617474	0.94665834703273	0.13194037745363	0.00375718430988388
0.997856094331849	0.227436923111781	0.00215174413651184	0.997856094331849	0.31616224908896	0.00279171707265412	0.997856094331849	0.182661587429676	0.0069810878544768	0.997856094331849	0.196206570071036	0.00289607463815247	0.997856094331849	0.314899922169783	0.0036098906843342	0.997856094331849	0.14721532486441	0.00404339075721635	0.997856094331849	0.176952163110793	0.0020944749017769	0.997856094331849	0.302008481160912	0.00278586272861584	0.997856094331849	0.1233289219296	0.00349135454548353
1.07465271528053	0.213674581135065	0.00280900682527218	1.07465271528053	0.297834522200286	0.00246194002979577	1.07465271528053	0.171911476689923	0.00346916482389509	1.07465271528053	0.186148600094062	0.00252738994971041	1.07465271528053	0.297299254835752	0.00367100620658654	1.07465271528053	0.143394992626313	0.00449902751398224	1.07465271528053	0.165856034557083	0.00219170938441019	1.07465271528053	0.284833770233218	0.00291603366444172	1.07465271528053	0.118011163497524	0.00346080396665909
1.17704820987877	0.200385329286372	0.00236155720641901	1.17704820987877	0.276650774679114	0.00278752469072188	1.17704820987877	0.159326397111876	0.0041613603697749	1.17704820987877	0.174212159111365	0.00205085510166411	1.17704820987877	0.275473229811474	0.00342723849254344	1.17704820987877	0.127293926000092	0.00342046936796502	1.17704820987877	0.153371225428425	0.0026287887764589	1.17704820987877	0.264284333151565	0.00291859869460637	1.17704820987877	0.109330079777538	0.00310545185713547
1.279443704477	0.187507989027649	0.0019593184185045	1.279443704477	0.259603036371282	0.00285286641707544	1.279443704477	0.148167329776986	0.00439271914308786	1.279443704477	0.162048073821848	0.00218905015370403	1.279443704477	0.257589743087453	0.0031367057497952	1.279443704477	0.126734303518565	0.00218377512362065	1.279443704477	0.145921759663556	0.00232436391637835	1.279443704477	0.248146002006986	0.00336644908169965	1.279443704477	0.105614418268292	0.00297068691762824
1.38183919907524	0.175901850409275	0.00160273229873591	1.38183919907524	0.243347978388256	0.00318640531774375	1.38183919907524	0.136905548600257	0.00240705748599182	1.38183919907524	0.152730724590956	0.00227967978643721	1.38183919907524	0.241947726599324	0.00333785005199181	1.38183919907524	0.109002225280827	0.00376250550946427	1.38183919907524	0.134643133815803	0.00245844797839991	1.38183919907524	0.231021710580273	0.00325382749616415	1.38183919907524	0.0992470062660088	0.00268438079818939
